경기번호,팀명,경기장,관중수,경기날짜,결과,1팀score,2팀score,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,정시영,8,10,3,1,1,30.0,5.18,2,0,1,0,0.0,1.89,0,0,0,0,0.0,0.0,5,2,0,1,40.0,55.56,0,0,0,0,0.0,0.0,3,1,0,0,33.33,30.0,0,0,0,0,0.0,0.0,15,1,2,0.2,13.76,8,6,2,0,1.2,5.52,6,2,0,0.4,3.08,0,0,0,0.0,0.0,20,4,11,4,0,0.8,27.78,2,0,3,R,0.0975609756097561,1
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,이한비,4,19,4,1,1,21.05,9.84,15,3,1,1,20.0,14.15,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,2.04,0,0,0,0,0.0,0.0,3,1,0,0,33.33,30.0,7,0,3,0.0,6.42,5,5,0,0,1.67,3.45,1,1,0,0.33,0.51,8,5,0,1.67,9.41,1,0,1,0,0,0.0,1.39,0,0,4,L,0.048780487804878,0
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,김나희,3,11,2,1,0,18.18,5.7,1,0,0,0,0.0,0.94,0,0,0,0,0.0,0.0,3,0,0,0,0.0,33.33,0,0,0,0,0.0,0.0,7,2,1,0,28.57,70.0,0,0,0,0,0.0,0.0,11,0,0,0.0,10.09,5,3,2,0,0.6,3.45,3,0,1,0.0,1.54,0,0,0,0.0,0.0,13,1,10,1,0,0.2,18.06,3,0,1,C,0.0365853658536585,1
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,조송화,3,3,0,0,0,0.0,1.55,3,0,0,0,0.0,2.83,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,0,2,0.0,11.93,19,18,1,0,3.6,13.1,150,50,1,10.0,76.92,0,0,0,0.0,0.0,13,3,4,4,0,0.6,18.06,3,0,3,S,0.0365853658536585,1
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,공윤희,3,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,3,0,1.0,10.09,2,2,0,0,0.67,1.38,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,R,0.0365853658536585,0
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,신연경,0,3,0,1,0,0.0,1.55,3,0,1,0,0.0,2.83,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,0,0,0.0,6.42,10,9,1,0,3.0,6.9,4,0,0,0.0,2.05,21,6,2,1.33,24.71,4,0,3,1,0,0.0,5.56,0,0,0,L,0.0,1
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,김해란,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,36,32,4,0,6.4,24.83,17,7,0,1.4,8.72,14,7,3,0.8,16.47,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,남지연,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,7,7,0,0,1.75,4.83,3,0,0,0.0,1.54,2,1,0,0.25,2.35,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
1,흥국생명,화성종합실내체육관,3482,2017-10-14,1,3,2,한지현,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,1.83,6,6,0,0,1.5,4.14,1,0,0,0.0,0.51,6,3,1,0.5,7.06,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
2,KGC인삼공사,대전충무체육관,1291,2017-10-15,0,2,3,알레나,44,108,42,9,4,38.89,52.68,61,23,7,0,37.7,51.26,1,0,0,0,0.0,25.0,0,0,0,0,0.0,0.0,40,16,2,4,40.0,100.0,0,0,0,0,0.0,0.0,6,3,0,0,50.0,18.75,16,0,1,0.0,14.81,26,20,6,0,4.0,17.81,11,1,0,0.2,5.26,0,0,0,0.0,0.0,18,2,1,6,0,0.4,23.08,1,0,5,R,0.5641025641025641,1
2,KGC인삼공사,대전충무체육관,1291,2017-10-15,0,2,3,한송이,13,34,11,3,0,32.35,16.59,16,5,0,0,31.25,13.45,3,1,0,0,33.33,75.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,5,3,0,33.33,46.88,16,0,0,0.0,14.81,22,22,0,0,4.4,15.07,10,4,0,0.8,4.78,33,12,2,2.0,32.04,10,2,3,3,1,0.4,12.82,1,0,1,L,0.1666666666666666,1
2,KGC인삼공사,대전충무체육관,1291,2017-10-15,0,2,3,유희옥,5,7,2,0,0,28.57,3.41,2,1,0,0,50.0,1.68,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,1,0,0,20.0,83.33,0,0,0,0,0.0,0.0,16,1,1,0.2,14.81,2,2,0,0,0.4,1.37,9,3,0,0.6,4.31,0,0,0,0.0,0.0,11,2,5,3,0,0.4,14.1,2,0,1,C,0.0641025641025641,1
2,KGC인삼공사,대전충무체육관,1291,2017-10-15,0,2,3,최수빈,4,29,4,4,2,13.79,14.15,21,2,3,1,9.52,17.65,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,2,1,1,25.0,25.0,16,0,1,0.0,14.81,20,15,5,0,3.0,13.7,5,2,0,0.4,2.39,42,19,1,3.6,40.78,9,0,6,2,0,0.0,11.54,0,0,3,L,0.0512820512820512,1
2,KGC인삼공사,대전충무체육관,1291,2017-10-15,0,2,3,이재은,4,5,2,0,0,40.0,2.44,5,2,0,0,40.0,4.2,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,17,2,1,0.4,15.74,18,15,3,0,3.0,12.33,156,51,1,10.2,74.64,0,0,0,0.0,0.0,11,0,8,1,0,0.0,14.1,1,0,2,S,0.0512820512820512,1
2,KGC인삼공사,대전충무체육관,1291,2017-10-15,0,2,3,이선정,3,10,2,1,0,20.0,4.88,5,1,1,0,20.0,4.2,0,0,0,0,0.0,0.0,4,1,0,0,25.0,100.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,16.67,0,0,0,0,0.0,0.0,17,0,0,0.0,15.74,7,5,2,0,1.0,4.79,9,1,0,0.2,4.31,2,1,0,0.2,1.94,17,1,7,6,1,0.2,21.79,0,0,1,C,0.0384615384615384,1
