팀명,경기날짜,이름,경기장,관중수,세트_점수
GS칼텍스,2021-10-16,모마,수원체육관,0,3
GS칼텍스,2021-10-16,강소휘,수원체육관,0,3
GS칼텍스,2021-10-16,유서연,수원체육관,0,3
GS칼텍스,2021-10-16,한수지,수원체육관,0,3
GS칼텍스,2021-10-16,김유리,수원체육관,0,3
GS칼텍스,2021-10-16,안혜진,수원체육관,0,3
GS칼텍스,2021-10-16,한다혜,수원체육관,0,3
GS칼텍스,2021-10-16,한수진,수원체육관,0,3
흥국생명,2021-10-16,캣벨,수원체육관,0,2
흥국생명,2021-10-16,김미연,수원체육관,0,2
흥국생명,2021-10-16,이주아,수원체육관,0,2
흥국생명,2021-10-16,김다은,수원체육관,0,2
흥국생명,2021-10-16,김채연,수원체육관,0,2
흥국생명,2021-10-16,박혜진,수원체육관,0,2
흥국생명,2021-10-16,김해란,수원체육관,0,2
현대건설,2021-10-17,야스민,수원체육관,0,3
현대건설,2021-10-17,양효진,수원체육관,0,3
현대건설,2021-10-17,이다현,수원체육관,0,3
현대건설,2021-10-17,고예림,수원체육관,0,3
현대건설,2021-10-17,황민경,수원체육관,0,3
현대건설,2021-10-17,김다인,수원체육관,0,3
현대건설,2021-10-17,김연견,수원체육관,0,3
현대건설,2021-10-17,김주하,수원체육관,0,3
IBK기업은행,2021-10-17,라셈,수원체육관,0,2
IBK기업은행,2021-10-17,김수지,수원체육관,0,2
IBK기업은행,2021-10-17,김주향,수원체육관,0,2
IBK기업은행,2021-10-17,표승주,수원체육관,0,2
IBK기업은행,2021-10-17,김희진,수원체육관,0,2
IBK기업은행,2021-10-17,조송화,수원체육관,0,2
IBK기업은행,2021-10-17,신연경,수원체육관,0,2
IBK기업은행,2021-10-17,최수빈,수원체육관,0,2
페퍼저축은행,2021-10-19,엘리자벳,수원체육관,0,3
페퍼저축은행,2021-10-19,하혜진,수원체육관,0,3
페퍼저축은행,2021-10-19,박경현,수원체육관,0,3
페퍼저축은행,2021-10-19,이한비,수원체육관,0,3
페퍼저축은행,2021-10-19,최가은,수원체육관,0,3
페퍼저축은행,2021-10-19,이현,수원체육관,0,3
페퍼저축은행,2021-10-19,구솔,수원체육관,0,3
페퍼저축은행,2021-10-19,이은지,수원체육관,0,3
KGC인삼공사,2021-10-19,이소영,수원체육관,0,2
KGC인삼공사,2021-10-19,옐레나,수원체육관,0,2
KGC인삼공사,2021-10-19,한송이,수원체육관,0,2
KGC인삼공사,2021-10-19,정호영,수원체육관,0,2
KGC인삼공사,2021-10-19,박혜민,수원체육관,0,2
KGC인삼공사,2021-10-19,고의정,수원체육관,0,2
KGC인삼공사,2021-10-19,염혜선,수원체육관,0,2
KGC인삼공사,2021-10-19,노란,수원체육관,0,2
한국도로공사,2021-10-20,켈시,수원체육관,0,3
한국도로공사,2021-10-20,박정아,수원체육관,0,3
한국도로공사,2021-10-20,정대영,수원체육관,0,3
한국도로공사,2021-10-20,배유나,수원체육관,0,3
한국도로공사,2021-10-20,전새얀,수원체육관,0,3
한국도로공사,2021-10-20,문정원,수원체육관,0,3
한국도로공사,2021-10-20,이고은,수원체육관,0,3
한국도로공사,2021-10-20,우수민,수원체육관,0,3
한국도로공사,2021-10-20,이윤정,수원체육관,0,3
한국도로공사,2021-10-20,임명옥,수원체육관,0,3
현대건설,2021-10-20,야스민,수원체육관,0,2
현대건설,2021-10-20,양효진,수원체육관,0,2
현대건설,2021-10-20,고예림,수원체육관,0,2
현대건설,2021-10-20,이다현,수원체육관,0,2
현대건설,2021-10-20,정지윤,수원체육관,0,2
현대건설,2021-10-20,황민경,수원체육관,0,2
현대건설,2021-10-20,김다인,수원체육관,0,2
현대건설,2021-10-20,김연견,수원체육관,0,2
IBK기업은행,2021-10-21,라셈,수원체육관,0,3
IBK기업은행,2021-10-21,김주향,수원체육관,0,3
IBK기업은행,2021-10-21,육서영,수원체육관,0,3
IBK기업은행,2021-10-21,김수지,수원체육관,0,3
IBK기업은행,2021-10-21,김희진,수원체육관,0,3
IBK기업은행,2021-10-21,표승주,수원체육관,0,3
IBK기업은행,2021-10-21,김하경,수원체육관,0,3
IBK기업은행,2021-10-21,조송화,수원체육관,0,3
IBK기업은행,2021-10-21,신연경,수원체육관,0,3
흥국생명,2021-10-21,캣벨,수원체육관,0,2
흥국생명,2021-10-21,김미연,수원체육관,0,2
