팀명,경기날짜,이름,경기장,관중수,세트_점수
현대건설,2020-10-17,루소,수원체육관,0,3
현대건설,2020-10-17,정지윤,수원체육관,0,3
현대건설,2020-10-17,양효진,수원체육관,0,3
현대건설,2020-10-17,고예림,수원체육관,0,3
현대건설,2020-10-17,황민경,수원체육관,0,3
현대건설,2020-10-17,이다현,수원체육관,0,3
현대건설,2020-10-17,김다인,수원체육관,0,3
현대건설,2020-10-17,김연견,수원체육관,0,3
현대건설,2020-10-17,김주하,수원체육관,0,3
GS칼텍스,2020-10-17,러츠,수원체육관,0,2
GS칼텍스,2020-10-17,강소휘,수원체육관,0,2
GS칼텍스,2020-10-17,이소영,수원체육관,0,2
GS칼텍스,2020-10-17,한수지,수원체육관,0,2
GS칼텍스,2020-10-17,안혜진,수원체육관,0,2
GS칼텍스,2020-10-17,김유리,수원체육관,0,2
GS칼텍스,2020-10-17,유서연,수원체육관,0,2
GS칼텍스,2020-10-17,이현,수원체육관,0,2
GS칼텍스,2020-10-17,한다혜,수원체육관,0,2
GS칼텍스,2020-10-17,한수진,수원체육관,0,2
KGC인삼공사,2020-10-18,디우프,수원체육관,0,3
KGC인삼공사,2020-10-18,최은지,수원체육관,0,3
KGC인삼공사,2020-10-18,고의정,수원체육관,0,3
KGC인삼공사,2020-10-18,한송이,수원체육관,0,3
KGC인삼공사,2020-10-18,정호영,수원체육관,0,3
KGC인삼공사,2020-10-18,박은진,수원체육관,0,3
KGC인삼공사,2020-10-18,염혜선,수원체육관,0,3
KGC인삼공사,2020-10-18,노란,수원체육관,0,3
KGC인삼공사,2020-10-18,오지영,수원체육관,0,3
IBK기업은행,2020-10-18,라자레바,수원체육관,0,2
IBK기업은행,2020-10-18,표승주,수원체육관,0,2
IBK기업은행,2020-10-18,김수지,수원체육관,0,2
IBK기업은행,2020-10-18,육서영,수원체육관,0,2
IBK기업은행,2020-10-18,조송화,수원체육관,0,2
IBK기업은행,2020-10-18,김희진,수원체육관,0,2
IBK기업은행,2020-10-18,심미옥,수원체육관,0,2
IBK기업은행,2020-10-18,신연경,수원체육관,0,2
GS칼텍스,2020-10-21,러츠,수원체육관,0,3
GS칼텍스,2020-10-21,강소휘,수원체육관,0,3
GS칼텍스,2020-10-21,이소영,수원체육관,0,3
GS칼텍스,2020-10-21,한수지,수원체육관,0,3
GS칼텍스,2020-10-21,유서연,수원체육관,0,3
GS칼텍스,2020-10-21,안혜진,수원체육관,0,3
GS칼텍스,2020-10-21,이원정,수원체육관,0,3
GS칼텍스,2020-10-21,한다혜,수원체육관,0,3
GS칼텍스,2020-10-21,한수진,수원체육관,0,3
흥국생명,2020-10-21,루시아,수원체육관,0,2
흥국생명,2020-10-21,김연경,수원체육관,0,2
흥국생명,2020-10-21,이재영,수원체육관,0,2
흥국생명,2020-10-21,김세영,수원체육관,0,2
흥국생명,2020-10-21,이다영,수원체육관,0,2
흥국생명,2020-10-21,김채연,수원체육관,0,2
흥국생명,2020-10-21,김미연,수원체육관,0,2
흥국생명,2020-10-21,도수빈,수원체육관,0,2
흥국생명,2020-10-21,박상미,수원체육관,0,2
흥국생명,2020-10-21,박현주,수원체육관,0,2
현대건설,2020-10-23,루소,수원체육관,0,3
현대건설,2020-10-23,정지윤,수원체육관,0,3
현대건설,2020-10-23,양효진,수원체육관,0,3
현대건설,2020-10-23,고예림,수원체육관,0,3
현대건설,2020-10-23,황민경,수원체육관,0,3
현대건설,2020-10-23,김다인,수원체육관,0,3
현대건설,2020-10-23,이다현,수원체육관,0,3
현대건설,2020-10-23,김연견,수원체육관,0,3
현대건설,2020-10-23,김주하,수원체육관,0,3
한국도로공사,2020-10-23,켈시,수원체육관,0,2
한국도로공사,2020-10-23,박정아,수원체육관,0,2
한국도로공사,2020-10-23,전새얀,수원체육관,0,2
한국도로공사,2020-10-23,배유나,수원체육관,0,2
한국도로공사,2020-10-23,정대영,수원체육관,0,2
한국도로공사,2020-10-23,문정원,수원체육관,0,2
한국도로공사,2020-10-23,이고은,수원체육관,0,2
한국도로공사,2020-10-23,임명옥,수원체육관,0,2
흥국생명,2020-10-24,이재영,수원체육관,0,3
흥국생명,2020-10-24,김연경,수원체육관,0,3
흥국생명,2020-10-24,루시아,수원체육관,0,3
흥국생명,2020-10-24,이주아,수원체육관,0,3
흥국생명,2020-10-24,김세영,수원체육관,0,3
흥국생명,2020-10-24,이다영,수원체육관,0,3
흥국생명,2020-10-24,박현주,수원체육관,0,3
흥국생명,2020-10-24,김미연,수원체육관,0,3
흥국생명,2020-10-24,도수빈,수원체육관,0,3
흥국생명,2020-10-24,박상미,수원체육관,0,3
KGC인삼공사,2020-10-24,디우프,수원체육관,0,2
KGC인삼공사,2020-10-24,최은지,수원체육관,0,2
KGC인삼공사,2020-10-24,한송이,수원체육관,0,2
KGC인삼공사,2020-10-24,이예솔,수원체육관,0,2
KGC인삼공사,2020-10-24,박은진,수원체육관,0,2
KGC인삼공사,2020-10-24,하효림,수원체육관,0,2
KGC인삼공사,2020-10-24,염혜선,수원체육관,0,2
KGC인삼공사,2020-10-24,오지영,수원체육관,0,2
IBK기업은행,2020-10-25,라자레바,수원체육관,0,3
IBK기업은행,2020-10-25,표승주,수원체육관,0,3
IBK기업은행,2020-10-25,김수지,수원체육관,0,3
IBK기업은행,2020-10-25,육서영,수원체육관,0,3
IBK기업은행,2020-10-25,김희진,수원체육관,0,3
IBK기업은행,2020-10-25,조송화,수원체육관,0,3
