선수명
니콜 [한국도로공사]
데스티니 [IBK기업은행 ] 드라간 [KGC인삼공사] 디우프 [KGC인삼공사]
라셈 [IBK기업은행 ] 라이첼 루크 [흥국생명] 라자레바 [IBK기업은행 ] 러브 [흥국생명] 러츠 [GS 칼텍스] 레이첼 [한국도로공사] 로시 [GS 칼텍스] 루소 [현대건설] 루시아 [흥국생명] 루시아나 [KGC인삼공사] 리빙스턴 [현대건설]
마리 [흥국생명] 마리안 [KGC인삼공사] 마야 [현대건설] 맥마혼 [IBK기업은행] 메디 [IBK기업은행] 모마 [GS 칼텍스] 몬타뇨 [KGC인삼공사] 미아 [흥국생명] 밀라 [한국도로공사]
바샤 [현대건설] 바실레바 [흥국생명] 베띠 [GS 칼텍스] 브라이언 [한국도로공사] 브란키차 [현대건설] 브루나 [흥국생명]
산야 [현대건설] 산체스 [한국도로공사] 산타나 [IBK기업은행] 소냐 [현대건설] 시크라 [한국도로공사] 쎄라파반 [GS 칼텍스]
아우리 [현대건설] 안드레이아 [GS 칼텍스] 알레나 [KGC인삼공사] 알레시아 [IBK기업은행 ]알렉사[GS 칼텍스]알렉시스[흥국생명]알리[GS 칼텍스]앳킨슨[한국도로공사]야나[현대건설]야스민[현대건설]에밀리[현대건설]에커맨[GS 칼텍스] 엘리자베스 [현대건설] 엘리자벳 [페퍼저축은행] 옐레나 [KGC인삼공사] 윌킨스 [흥국생명] 이바나 [한국도로공사] 이브 [GS 칼텍스]
제시카 [GS 칼텍스] 조이스 [KGC인삼공사] 존슨 [한국도로공사]
카리나 [IBK기업은행 ] 캣벨 [흥국생명] 케니 [현대건설] 케이티 [KGC인삼공사] 켈시 [한국도로공사] 크리스티나 [흥국생명]
테일러 [한국도로공사] 톰시아 [흥국생명] 티파니 [현대건설]
파튜 [한국도로공사] 페르난다 [KGC인삼공사] 페리 [GS 칼텍스] 포포비치 [GS 칼텍스] 폴리 [현대건설] 피네도 [한국도로공사]
하께우 [GS 칼텍스] 헐리 [한국도로공사] 헤일리 [현대건설] 휘트니 [흥국생명]

