팀명,경기날짜,이름,경기장,관중수,세트_점수
흥국생명,2019-10-19,이재영,수원체육관,0,3
흥국생명,2019-10-19,루시아,수원체육관,0,3
흥국생명,2019-10-19,김미연,수원체육관,0,3
흥국생명,2019-10-19,이주아,수원체육관,0,3
흥국생명,2019-10-19,김세영,수원체육관,0,3
흥국생명,2019-10-19,조송화,수원체육관,0,3
흥국생명,2019-10-19,김해란,수원체육관,0,3
흥국생명,2019-10-19,신연경,수원체육관,0,3
한국도로공사,2019-10-19,박정아,수원체육관,0,2
한국도로공사,2019-10-19,테일러,수원체육관,0,2
한국도로공사,2019-10-19,문정원,수원체육관,0,2
한국도로공사,2019-10-19,정대영,수원체육관,0,2
한국도로공사,2019-10-19,정선아,수원체육관,0,2
한국도로공사,2019-10-19,이효희,수원체육관,0,2
한국도로공사,2019-10-19,유서연,수원체육관,0,2
한국도로공사,2019-10-19,이원정,수원체육관,0,2
한국도로공사,2019-10-19,임명옥,수원체육관,0,2
IBK기업은행,2019-10-20,어나이,수원체육관,0,3
IBK기업은행,2019-10-20,김희진,수원체육관,0,3
IBK기업은행,2019-10-20,표승주,수원체육관,0,3
IBK기업은행,2019-10-20,김수지,수원체육관,0,3
IBK기업은행,2019-10-20,김주향,수원체육관,0,3
IBK기업은행,2019-10-20,변지수,수원체육관,0,3
IBK기업은행,2019-10-20,이나연,수원체육관,0,3
IBK기업은행,2019-10-20,박상미,수원체육관,0,3
IBK기업은행,2019-10-20,백목화,수원체육관,0,3
IBK기업은행,2019-10-20,한지현,수원체육관,0,3
KGC인삼공사,2019-10-20,디우프,수원체육관,0,2
KGC인삼공사,2019-10-20,최은지,수원체육관,0,2
KGC인삼공사,2019-10-20,박은진,수원체육관,0,2
KGC인삼공사,2019-10-20,한송이,수원체육관,0,2
KGC인삼공사,2019-10-20,채선아,수원체육관,0,2
KGC인삼공사,2019-10-20,정호영,수원체육관,0,2
KGC인삼공사,2019-10-20,염혜선,수원체육관,0,2
KGC인삼공사,2019-10-20,노란,수원체육관,0,2
KGC인삼공사,2019-10-20,오지영,수원체육관,0,2
GS칼텍스,2019-10-22,강소휘,수원체육관,0,3
GS칼텍스,2019-10-22,러츠,수원체육관,0,3
GS칼텍스,2019-10-22,이소영,수원체육관,0,3
GS칼텍스,2019-10-22,한수지,수원체육관,0,3
GS칼텍스,2019-10-22,김유리,수원체육관,0,3
GS칼텍스,2019-10-22,안혜진,수원체육관,0,3
GS칼텍스,2019-10-22,이고은,수원체육관,0,3
GS칼텍스,2019-10-22,한다혜,수원체육관,0,3
흥국생명,2019-10-22,루시아,수원체육관,0,2
흥국생명,2019-10-22,이재영,수원체육관,0,2
흥국생명,2019-10-22,이주아,수원체육관,0,2
흥국생명,2019-10-22,김미연,수원체육관,0,2
흥국생명,2019-10-22,김세영,수원체육관,0,2
흥국생명,2019-10-22,조송화,수원체육관,0,2
흥국생명,2019-10-22,김해란,수원체육관,0,2
흥국생명,2019-10-22,신연경,수원체육관,0,2
KGC인삼공사,2019-10-23,디우프,수원체육관,0,3
KGC인삼공사,2019-10-23,최은지,수원체육관,0,3
KGC인삼공사,2019-10-23,박은진,수원체육관,0,3
KGC인삼공사,2019-10-23,한송이,수원체육관,0,3
KGC인삼공사,2019-10-23,채선아,수원체육관,0,3
KGC인삼공사,2019-10-23,염혜선,수원체육관,0,3
KGC인삼공사,2019-10-23,노란,수원체육관,0,3
KGC인삼공사,2019-10-23,오지영,수원체육관,0,3
현대건설,2019-10-23,고예림,수원체육관,0,2
현대건설,2019-10-23,마야,수원체육관,0,2
현대건설,2019-10-23,양효진,수원체육관,0,2
현대건설,2019-10-23,정지윤,수원체육관,0,2
현대건설,2019-10-23,황민경,수원체육관,0,2
현대건설,2019-10-23,이다영,수원체육관,0,2
현대건설,2019-10-23,이다현,수원체육관,0,2
현대건설,2019-10-23,김연견,수원체육관,0,2
현대건설,2019-10-23,이영주,수원체육관,0,2
IBK기업은행,2019-10-24,어나이,수원체육관,0,3
IBK기업은행,2019-10-24,김희진,수원체육관,0,3
IBK기업은행,2019-10-24,표승주,수원체육관,0,3
IBK기업은행,2019-10-24,김주향,수원체육관,0,3
IBK기업은행,2019-10-24,김수지,수원체육관,0,3
IBK기업은행,2019-10-24,이나연,수원체육관,0,3
IBK기업은행,2019-10-24,백목화,수원체육관,0,3
IBK기업은행,2019-10-24,한지현,수원체육관,0,3
한국도로공사,2019-10-24,테일러,수원체육관,0,2
한국도로공사,2019-10-24,박정아,수원체육관,0,2
한국도로공사,2019-10-24,문정원,수원체육관,0,2
한국도로공사,2019-10-24,정대영,수원체육관,0,2
한국도로공사,2019-10-24,정선아,수원체육관,0,2
한국도로공사,2019-10-24,이효희,수원체육관,0,2
한국도로공사,2019-10-24,유서연,수원체육관,0,2
한국도로공사,2019-10-24,임명옥,수원체육관,0,2
흥국생명,2019-10-26,이재영,수원체육관,0,3
흥국생명,2019-10-26,루시아,수원체육관,0,3
흥국생명,2019-10-26,김미연,수원체육관,0,3
흥국생명,2019-10-26,김세영,수원체육관,0,3
흥국생명,2019-10-26,이주아,수원체육관,0,3
흥국생명,2019-10-26,김채연,수원체육관,0,3
흥국생명,2019-10-26,김해란,수원체육관,0,3
흥국생명,2019-10-26,신연경,수원체육관,0,3
흥국생명,2019-10-26,조송화,수원체육관,0,3
현대건설,2019-10-26,마야,수원체육관,0,2
현대건설,2019-10-26,양효진,수원체육관,0,2
현대건설,2019-10-26,고예림,수원체육관,0,2
현대건설,2019-10-26,정지윤,수원체육관,0,2
현대건설,2019-10-26,황민경,수원체육관,0,2
현대건설,2019-10-26,이다영,수원체육관,0,2
현대건설,2019-10-26,고유민,수원체육관,0,2
현대건설,2019-10-26,김연견,수원체육관,0,2
한국도로공사,2019-10-27,테일러,수원체육관,0,3
한국도로공사,2019-10-27,박정아,수원체육관,0,3
한국도로공사,2019-10-27,문정원,수원체육관,0,3
한국도로공사,2019-10-27,정대영,수원체육관,0,3
한국도로공사,2019-10-27,정선아,수원체육관,0,3
한국도로공사,2019-10-27,이원정,수원체육관,0,3
한국도로공사,2019-10-27,유서연,수원체육관,0,3
한국도로공사,2019-10-27,이효희,수원체육관,0,3
한국도로공사,2019-10-27,임명옥,수원체육관,0,3
한국도로공사,2019-10-27,전새얀,수원체육관,0,3
GS칼텍스,2019-10-27,러츠,수원체육관,0,2
GS칼텍스,2019-10-27,강소휘,수원체육관,0,2
GS칼텍스,2019-10-27,이소영,수원체육관,0,2
GS칼텍스,2019-10-27,김유리,수원체육관,0,2
GS칼텍스,2019-10-27,한수지,수원체육관,0,2
GS칼텍스,2019-10-27,이고은,수원체육관,0,2
GS칼텍스,2019-10-27,안혜진,수원체육관,0,2
GS칼텍스,2019-10-27,한다혜,수원체육관,0,2
KGC인삼공사,2019-10-29,디우프,수원체육관,0,3
KGC인삼공사,2019-10-29,최은지,수원체육관,0,3
