팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
현대건설,수원체육관,0,2020-10-17,3,2,1,루소,28,54,22,3,3,40.74,35.29,27,10,3,2,37.04,29.35,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,12,7,0,0,58.33,92.31,0,0,0,0,0.0,0.0,15,5,0,1,33.33,51.72,16,2,3,0.4,15.38,11,8,3,0,1.6,10.28,3,0,0,0.0,1.89,12,2,3,0.0,13.19,15,4,2,5,0,0.8,19.48,2,0,6,L,0.35,1
현대건설,수원체육관,0,2020-10-17,3,2,1,정지윤,21,34,20,3,1,58.82,22.22,26,16,2,1,61.54,28.26,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,2,1,0,40.0,27.78,3,2,0,0,66.67,10.34,9,0,1,0.0,8.65,10,8,2,0,1.6,9.35,2,1,0,0.2,1.26,0,0,0,0.0,0.0,15,1,5,4,0,0.2,19.48,0,0,2,C,0.2625,1
현대건설,수원체육관,0,2020-10-17,3,2,1,양효진,18,32,15,2,2,46.88,20.92,20,9,1,0,45.0,21.74,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,12,6,1,2,50.0,66.67,0,0,0,0,0.0,0.0,21,0,1,0.0,20.19,10,7,3,0,1.4,9.35,3,2,0,0.4,1.89,3,1,0,33.33,3.3,13,3,2,5,0,0.6,16.88,5,0,3,C,0.225,1
현대건설,수원체육관,0,2020-10-17,3,2,1,고예림,8,19,6,3,2,31.58,12.42,9,2,2,0,22.22,9.78,1,1,0,0,100.0,100.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,7.69,0,0,0,0,0.0,0.0,8,3,1,2,37.5,27.59,15,0,0,0.0,14.42,16,14,2,0,2.8,14.95,7,2,0,0.4,4.4,21,10,0,47.62,23.08,8,2,3,1,0,0.4,10.39,0,0,2,L,0.1,1
현대건설,수원체육관,0,2020-10-17,3,2,1,황민경,2,12,2,1,0,16.67,7.84,9,2,1,0,22.22,9.78,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,0,0,0.0,10.34,15,0,1,0.0,14.42,15,13,2,0,3.25,14.02,6,2,0,0.5,3.77,33,14,5,27.27,36.26,10,0,3,6,0,0.0,12.99,1,0,1,L,0.025,1
현대건설,수원체육관,0,2020-10-17,3,2,1,이다현,2,2,2,0,0,100.0,1.31,1,1,0,0,100.0,1.09,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,0,100.0,5.56,0,0,0,0,0.0,0.0,2,0,1,0.0,1.92,0,0,0,0,0.0,0.0,1,1,0,0.2,0.63,0,0,0,0.0,0.0,7,0,4,2,0,0.0,9.09,1,0,1,C,0.025,0
현대건설,수원체육관,0,2020-10-17,3,2,1,김다인,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,22,0,3,0.0,21.15,19,15,4,0,3.0,17.76,125,50,3,10.0,78.62,0,0,0,0.0,0.0,9,1,5,3,0,0.2,11.69,1,0,6,S,0.0125,1
현대건설,수원체육관,0,2020-10-17,3,2,1,김연견,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,10,8,2,0,1.6,9.35,4,1,0,0.2,2.52,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
현대건설,수원체육관,0,2020-10-17,3,2,1,김주하,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,16,14,2,0,2.8,14.95,4,0,0,0.0,2.52,22,10,3,31.82,24.18,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
GS칼텍스,수원체육관,0,2020-10-17,3,2,0,러츠,33,66,26,4,6,39.39,42.31,37,12,2,4,32.43,46.25,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,7,0,2,50.0,87.5,0,0,0,0,0.0,0.0,15,7,2,0,46.67,30.0,13,2,3,0.4,12.75,9,5,4,0,1.0,9.57,5,0,1,0.0,3.16,0,0,0,0.0,0.0,15,5,3,2,0,1.0,20.83,2,0,10,R,0.4125,1
