팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,박정아,30,65,30,0,3,46.15,36.52,15,3,0,2,20.0,23.08,5,4,0,0,80.0,35.71,0,0,0,0,0.0,0.0,17,9,0,0,52.94,58.62,0,0,0,0,0.0,0.0,28,14,0,1,50.0,51.85,12,0,3,0.0,11.21,15,11,4,0,2.2,12.71,7,3,0,0.6,3.85,4,2,0,50.0,3.92,3,0,1,1,0,0.0,4.35,0,0,6,L,0.3614457831325301,1
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,이바나,14,39,11,2,4,28.21,21.91,18,2,0,2,11.11,27.69,3,3,0,0,100.0,21.43,0,0,0,0,0.0,0.0,10,5,0,1,50.0,34.48,0,0,0,0,0.0,0.0,8,1,2,1,12.5,14.81,13,3,2,0.6,12.15,7,4,3,0,0.8,5.93,1,0,0,0.0,0.55,0,0,0,0.0,0.0,8,0,3,5,0,0.0,11.59,1,0,6,R,0.1686746987951807,1
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,정대영,13,26,10,1,0,38.46,14.61,9,2,1,0,22.22,13.85,2,1,0,0,50.0,14.29,5,3,0,0,60.0,83.33,0,0,0,0,0.0,0.0,7,3,0,0,42.86,70.0,3,1,0,0,33.33,5.56,15,0,0,0.0,14.02,11,8,3,0,1.6,9.32,5,0,0,0.0,2.75,0,0,0,0.0,0.0,19,3,4,10,0,0.6,27.54,0,0,0,C,0.1566265060240964,1
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,하혜진,9,18,8,2,2,44.44,10.11,6,2,0,1,33.33,9.23,1,1,0,0,100.0,7.14,0,0,0,0,0.0,0.0,2,1,0,1,50.0,6.9,0,0,0,0,0.0,0.0,9,4,2,0,44.44,16.67,9,0,0,0.0,8.41,1,1,0,0,0.2,0.85,4,0,0,0.0,2.2,1,0,0,0.0,0.98,6,1,5,0,0,0.2,8.7,0,0,2,L,0.10843373493975904,0
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,문정원,9,14,6,0,0,42.86,7.87,7,3,0,0,42.86,10.77,2,1,0,0,50.0,14.29,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,2,0,0,40.0,9.26,22,3,1,0.6,20.56,25,20,5,0,4.0,21.19,4,2,0,0.4,2.2,67,36,1,52.24,65.69,3,0,2,0,0,0.0,4.35,0,0,1,R,0.10843373493975904,1
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,정선아,5,11,3,1,1,27.27,6.18,6,3,0,1,50.0,9.23,1,0,0,0,0.0,7.14,1,0,0,0,0.0,16.67,0,0,0,0,0.0,0.0,3,0,1,0,0.0,30.0,0,0,0,0,0.0,0.0,10,0,2,0.0,9.35,5,5,0,0,1.0,4.24,1,1,0,0.2,0.55,2,1,0,50.0,1.96,17,2,6,6,0,0.4,24.64,0,0,3,C,0.060240963855421686,1
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,전새얀,2,2,1,0,0,50.0,1.12,1,0,0,0,0.0,1.54,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,0,100.0,1.85,2,0,1,0.0,1.87,1,0,1,0,0.0,0.85,0,0,0,0.0,0.0,2,1,0,50.0,1.96,1,1,0,0,0,0.33,1.45,1,0,1,L,0.024096385542168676,0
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,이효희,1,3,1,0,0,33.33,1.69,3,1,0,0,33.33,4.62,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,18,0,0,0.0,16.82,20,16,4,0,3.2,16.95,140,60,1,12.0,76.92,0,0,0,0.0,0.0,10,0,4,4,0,0.0,14.49,1,0,1,S,0.012048192771084338,1
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,유서연,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,3.74,2,1,1,0,0.25,1.69,0,0,0,0.0,0.0,1,1,0,100.0,0.98,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
한국도로공사,김천실내체육관,5617,2018-10-22,3,2,0,임명옥,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,31,29,2,0,5.8,26.27,15,2,0,0.4,8.24,25,16,0,64.0,24.51,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
