팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,이재영,33,53,31,1,1,58.49,34.42,22,14,1,0,63.64,25.88,2,0,0,1,0.0,100.0,0,0,0,0,0.0,0.0,13,6,0,0,46.15,65.0,0,0,0,0,0.0,0.0,16,11,0,0,68.75,59.26,18,1,3,0.25,18.37,23,19,4,0,4.75,21.7,6,2,0,0.5,4.0,13,2,0,15.38,18.06,4,1,1,2,0,0.25,5.41,0,0,4,L,0.44594594594594594,1
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,루시아,14,43,14,2,4,32.56,27.92,35,10,2,4,28.57,41.18,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,3,0,0,50.0,30.0,0,0,0,0,0.0,0.0,2,1,0,0,50.0,7.41,21,0,2,0.0,21.43,16,12,4,0,3.0,15.09,2,0,1,0.0,1.33,0,0,0,0.0,0.0,12,0,5,6,0,0.0,16.22,0,0,7,R,0.1891891891891892,1
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,김미연,12,31,9,2,2,29.03,20.13,22,6,1,0,27.27,25.88,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,0,100.0,5.0,0,0,0,0,0.0,0.0,8,2,1,2,25.0,29.63,19,3,1,0.75,19.39,6,4,2,0,1.0,5.66,6,0,0,0.0,4.0,30,10,2,26.67,41.67,10,0,5,2,0,0.0,13.51,0,0,3,R,0.16216216216216217,1
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,이주아,9,12,5,0,0,41.67,7.79,1,0,0,0,0.0,1.18,0,0,0,0,0.0,0.0,2,2,0,0,100.0,100.0,0,0,0,0,0.0,0.0,9,3,0,0,33.33,50.0,0,0,0,0,0.0,0.0,10,0,1,0.0,10.2,2,2,0,0,0.5,1.89,6,0,1,0.0,4.0,2,0,0,0.0,2.78,17,4,6,4,0,1.0,22.97,1,0,2,C,0.12162162162162163,1
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,김세영,5,11,5,0,0,45.45,7.14,2,1,0,0,50.0,2.35,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,4,0,0,44.44,50.0,0,0,0,0,0.0,0.0,14,0,1,0.0,14.29,4,4,0,0,1.0,3.77,5,2,0,0.5,3.33,0,0,0,0.0,0.0,21,0,11,4,0,0.0,28.38,1,0,1,C,0.06756756756756757,1
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,조송화,1,1,0,0,0,0.0,0.65,1,0,0,0,0.0,1.18,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,0,2,0.0,13.27,12,11,1,0,2.75,11.32,115,51,0,12.75,76.67,1,0,0,0.0,1.39,9,1,6,1,0,0.25,12.16,2,0,2,S,0.013513513513513514,1
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,김해란,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,41,40,1,0,10.0,38.68,7,5,0,1.25,4.67,22,12,2,45.45,30.56,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
흥국생명,인천계양체육관,2901,2019-10-19,3,1,1,신연경,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,0,0.0,0.94,3,2,0,0.5,2.0,3,1,0,33.33,4.17,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
한국도로공사,인천계양체육관,2901,2019-10-19,3,1,0,박정아,18,54,15,1,3,27.78,33.13,21,6,1,1,28.57,32.31,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,1,0,2,11.11,31.03,0,0,0,0,0.0,0.0,24,8,0,0,33.33,46.15,12,1,2,0.25,14.81,10,8,2,0,2.0,8.7,4,1,0,0.25,2.45,12,2,1,8.33,13.64,9,2,3,3,0,0.5,18.0,1,0,5,L,0.3,1
한국도로공사,인천계양체육관,2901,2019-10-19,3,1,0,테일러,15,59,15,4,7,25.42,36.2,26,8,1,4,30.77,40.0,1,0,0,0,0.0,25.0,0,0,0,0,0.0,0.0,16,3,1,2,18.75,55.17,0,0,0,0,0.0,0.0,16,4,2,1,25.0,30.77,13,0,1,0.0,16.05,19,18,1,0,4.5,16.52,5,0,0,0.0,3.07,0,0,0,0.0,0.0,6,0,3,3,0,0.0,12.0,1,0,8,L,0.25,1
한국도로공사,인천계양체육관,2901,2019-10-19,3,1,0,문정원,12,25,11,0,2,44.0,15.34,8,2,0,1,25.0,12.31,3,2,0,0,66.67,75.0,0,0,0,0,0.0,0.0,2,0,0,0,0.0,6.9,0,0,0,0,0.0,0.0,12,7,0,1,58.33,23.08,11,1,2,0.25,13.58,26,21,5,0,5.25,22.61,9,1,0,0.25,5.52,53,32,0,60.38,60.23,7,0,2,5,0,0.0,14.0,0,0,4,R,0.2,1
한국도로공사,인천계양체육관,2901,2019-10-19,3,1,0,정대영,8,17,6,1,2,35.29,10.43,8,2,1,0,25.0,12.31,0,0,0,0,0.0,0.0,3,0,0,0,0.0,100.0,0,0,0,0,0.0,0.0,6,4,0,2,66.67,60.0,0,0,0,0,0.0,0.0,12,1,1,0.25,14.81,7,6,1,0,1.5,6.09,8,1,0,0.25,4.91,1,0,0,0.0,1.14,15,1,9,1,0,0.25,30.0,0,0,3,C,0.13333333333333333,1
한국도로공사,인천계양체육관,2901,2019-10-19,3,1,0,정선아,5,4,3,0,0,75.0,2.45,1,0,0,0,0.0,1.54,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,3,0,0,100.0,30.0,0,0,0,0,0.0,0.0,5,0,2,0.0,6.17,1,1,0,0,0.25,0.87,2,0,0,0.0,1.23,0,0,0,0.0,0.0,8,2,2,3,0,0.5,16.0,1,0,2,C,0.08333333333333333,0
