팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,이주아,7,8,4,0,0,50.0,7.77,3,1,0,0,33.33,5.66,0,0,0,0,0.0,0.0,3,1,0,0,33.33,100.0,0,0,0,0,0.0,0.0,2,2,0,0,100.0,40.0,0,0,0,0,0.0,0.0,8,0,0,0.0,11.59,4,2,2,0,0.67,5.71,6,0,1,0.0,5.45,3,3,0,100.0,4.55,8,3,2,1,0,1.0,15.38,2,0,1,C,0.14285714285714285,1
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,김다은,6,14,5,1,1,35.71,13.59,4,2,0,0,50.0,7.55,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1,0,1,50.0,14.29,0,0,0,0,0.0,0.0,8,2,1,0,25.0,30.77,6,0,0,0.0,8.7,8,6,2,0,2.0,11.43,1,1,0,0.33,0.91,26,6,3,11.54,39.39,8,1,4,3,0,0.33,15.38,0,0,1,R,0.12244897959183673,0
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,김채연,3,3,1,1,0,33.33,2.91,1,1,0,0,100.0,1.89,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,1,0,0.0,40.0,0,0,0,0,0.0,0.0,8,0,0,0.0,11.59,4,4,0,0,1.33,5.71,1,0,0,0.0,0.91,1,0,0,0.0,1.52,8,2,2,2,0,0.67,15.38,3,0,0,C,0.061224489795918366,1
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,박혜진,3,2,1,0,0,50.0,1.94,2,1,0,0,50.0,3.77,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,12,0,2,0.0,17.39,7,7,0,0,2.33,10.0,76,31,0,10.33,69.09,2,0,0,0.0,3.03,9,2,2,3,1,0.67,17.31,2,0,3,S,0.061224489795918366,1
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,김해란,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,16,13,3,0,4.33,22.86,8,0,0,0.0,7.27,6,2,0,33.33,9.09,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
현대건설,수원체육관,0,2021-10-17,3,1,1,야스민,43,66,36,1,7,54.55,49.62,30,19,0,3,63.33,52.63,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,25,12,0,3,48.0,100.0,0,0,0,0,0.0,0.0,11,5,1,1,45.45,52.38,19,3,3,0.75,19.59,7,6,1,0,1.5,7.78,5,1,0,0.25,3.57,0,0,0,0.0,0.0,12,4,7,0,0,1.0,17.39,3,0,10,R,0.5657894736842105,1
현대건설,수원체육관,0,2021-10-17,3,1,1,양효진,9,15,7,1,1,46.67,11.28,4,1,1,0,25.0,7.02,5,3,0,0,60.0,38.46,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,3,0,1,50.0,42.86,0,0,0,0,0.0,0.0,11,0,0,0.0,11.34,5,5,0,0,1.25,5.56,5,3,0,0.75,3.57,1,0,0,0.0,1.52,13,2,4,4,2,0.5,18.84,5,0,3,C,0.11842105263157894,1
현대건설,수원체육관,0,2021-10-17,3,1,1,이다현,9,14,4,1,3,28.57,10.53,3,0,1,0,0.0,5.26,0,0,0,0,0.0,0.0,3,1,0,2,33.33,100.0,0,0,0,0,0.0,0.0,8,3,0,1,37.5,57.14,0,0,0,0,0.0,0.0,11,0,0,0.0,11.34,5,5,0,0,1.25,5.56,5,2,0,0.5,3.57,0,0,0,0.0,0.0,13,5,1,5,0,1.25,18.84,0,0,3,C,0.11842105263157894,1
현대건설,수원체육관,0,2021-10-17,3,1,1,고예림,8,21,8,1,1,38.1,15.79,12,3,1,1,25.0,21.05,5,2,0,0,40.0,38.46,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,3,0,0,75.0,19.05,13,0,1,0.0,13.4,12,10,2,0,2.5,13.33,6,1,0,0.25,4.29,26,9,1,30.77,39.39,11,0,6,4,0,0.0,15.94,1,0,2,L,0.10526315789473684,1
현대건설,수원체육관,0,2021-10-17,3,1,1,황민경,5,17,4,0,0,23.53,12.78,8,1,0,0,12.5,14.04,3,1,0,0,33.33,23.08,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,2,0,0,33.33,28.57,23,0,2,0.0,23.71,20,19,1,0,4.75,22.22,2,0,0,0.0,1.43,17,6,1,29.41,25.76,8,1,5,2,0,0.25,11.59,1,0,2,L,0.06578947368421052,1
현대건설,수원체육관,0,2021-10-17,3,1,1,김다인,2,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,16,2,2,0.5,16.49,15,14,1,0,3.5,16.67,87,39,1,9.75,62.14,0,0,0,0.0,0.0,10,0,4,5,0,0.0,14.49,0,0,3,S,0.02631578947368421,1
현대건설,수원체육관,0,2021-10-17,3,1,1,김연견,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,22,19,3,0,4.75,24.44,14,7,0,1.75,10.0,19,10,0,52.63,28.79,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
